symbol	GSM265020	GSM265036	GSM265361	GSM265363	GSM265366	GSM265436	GSM265439	GSM265445
NTRK2	3.53690559375018	3.72018448216968	3.89352852071628	3.72561010640229	3.73337890493708	3.72206385611492	3.7942229017468	3.6246179401324
NTRK3	4.2507572184867	4.31301454882906	4.2663998711152	4.19034023820658	4.31938450901961	4.32694550687248	4.36695213758862	4.3282563949035
NTS	2.98756296953951	2.85175352460914	2.84194037148178	2.7013732788327	3.02922994656146	2.91360730995304	2.91474858190253	2.80705293349919
NTSR1	5.64328624491488	6.35055566215565	7.20997207611852	6.47876386108289	6.12649235132248	6.17278960661282	6.08396923886757	5.90676054993789
NTSR2	4.66640469489632	4.72356374827886	4.67619111945666	4.61633798710263	4.62500431032801	4.63971172653603	4.82293967323596	4.81239391278546
NUAK1	6.33779142166237	6.47660857485351	6.51806574108697	6.375060129868	6.50216215379033	6.16786968118796	6.39842528562849	6.25219955732669
NUBP1	7.48847072112501	6.95220122941319	7.37466856813747	7.44172813584173	7.05448520992098	7.78227403818903	7.86036124235851	7.56441429436107
NUCB1	7.74950660489303	8.15591631713963	8.04854746929114	8.29176375342078	8.43498684624425	9.03476449205506	9.34089884026916	9.49297377660292
NUCB2	5.65100573755992	5.87997024047186	4.99255836956801	5.82422009739137	5.85829145477757	6.0759563369636	6.29734771751756	6.74681877218217
NUDC	7.29608878480084	6.7993061092955	7.07884564055527	7.43915207999338	7.21365292779082	7.40851466883819	7.2108375441205	7.31357553981743
NUDCD3	6.29027549568783	6.5776922895804	6.62844539004296	6.44116470293951	6.41665325857577	6.49898236519349	6.57938953679681	6.63445670698174
NUDT1	6.56526620419939	6.7287384012069	6.721318328226	7.22607733594532	6.93479924211547	7.76715875947205	7.8886278114461	7.83714208098578
NUDT13	3.29738624373535	3.39731497304216	3.29865181255781	3.28383105833211	3.10762862385753	3.29009160978512	3.65356424624686	3.52129094070699
NUDT21	4.89764810744738	4.21755961050464	5.03668961432732	4.91961118221421	4.98155211668486	4.73487327621515	4.8888795684155	4.85359822611674
NUDT3	7.80653985585529	7.80803964817047	7.78090952511432	7.96173060417247	7.77748010094201	8.40395979409016	8.34059577822113	8.53800356832593
NUDT4	4.06075733777641	4.85545095037786	4.00943652166133	4.24903240070902	4.27042204256005	4.21814717078956	3.67884769113	3.92487062072889
NUFIP1	3.60113084135412	2.64563136487235	2.7521071960638	3.0568326757053	2.73321033055684	3.16013362109403	2.91260368033186	3.11335406253393
NUMA1	7.65467539723639	7.80996180680678	7.64855930674981	7.68112691870687	7.70090629827185	8.06776569885161	8.59356173390235	8.24160725875337
NUP133	4.04571248970537	3.11426034785124	3.4711896231701	3.4805809447516	3.55152312693203	3.80694580100114	3.94649331545774	4.04053229111158
NUP153	7.74023836715617	6.918350076162	7.01928456551552	6.46577129116868	7.18966047858706	7.11926802021411	6.36011750218709	6.28407559684648
NUP155	5.56504353975512	4.80152284725066	4.79848965450942	4.96428955096118	5.00284449414343	5.3066446455256	5.0570272142483	5.26205486936398
NUP160	5.76958459588185	4.69571463077756	4.77191460614345	4.47526369515035	4.87171774875214	5.25421846995978	5.00357662089707	5.2604501600418
NUP188	8.12669375291176	7.86890269719888	8.30928246423604	8.09022857876744	8.278691472502	8.67861477924691	8.04096812812834	7.88776315571367
NUP205	7.24535926142841	5.67316430971397	6.4902966888307	6.4058803170954	6.47399588737911	6.9123914071437	6.50415144319155	6.70124129685395
NUP210	5.93706934166799	6.00752311961412	6.00333783093293	6.18774329766415	6.03902454647134	5.70922643060247	5.87036456170345	6.15393767289324
NUP214	6.80698899548619	7.15547007493381	7.29043926853074	6.80451651452693	7.2426527780088	7.08382462919941	7.25598658705811	7.12847553544794
